ano,territorio_codigo,territorio,cnae_codigo,secao,secao_desc,divisao,divisao_desc,grupo,grupo_desc,classe,classe_desc,subclasse,subclasse_desc,remuneracao_mediana,vinculos,massa_salarial
2024,BR_2024_med,Brasil,8424800,O,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",84,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",842,Serviços coletivos prestados pela administração pública,84248,Segurança e ordem pública,8424800,Segurança e ordem pública,1276.83,31,39581.77
2024,BR_2024_med,Brasil,0139304,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",013,Produção de lavouras permanentes,01393,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139304,"Cultivo de plantas para condimento, exceto pimenta-do-reino",1294.78,436,564522.44
2024,BR_2024_med,Brasil,8230001,N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,82,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS",823,"Atividades de organização de eventos, exceto culturais e esportivos",82300,"Atividades de organização de eventos, exceto culturais e esportivos",8230001,"Serviços de organização de feiras, congressos, exposições e festas",1324.17,159414,211091843.85
2024,BR_2024_med,Brasil,7722500,N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,77,ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS,772,Aluguel de objetos pessoais e domésticos,77225,"Aluguel de fitas de vídeo, DVDs e similares",7722500,"Aluguel de fitas de vídeo, DVDs e similares",1350.36,302,407808.36
2024,BR_2024_med,Brasil,8299707,N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,82,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS",829,Outras atividades de serviços prestados principalmente às empresas,82997,Atividades de serviços prestados principalmente às empresas não especificadas anteriormente,8299707,Salas de acesso à Internet,1353.54,1371,1855705.77
2024,BR_2024_med,Brasil,0159803,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",015,Pecuária,01598,Criação de animais não especificados anteriormente,0159803,Criação de escargô,1367.4,8,10939.2
2024,BR_2024_med,Brasil,9700500,T,SERVIÇOS DOMÉSTICOS,97,SERVIÇOS DOMÉSTICOS,970,Serviços domésticos,97005,Serviços domésticos,9700500,Serviços domésticos,1382.74,1764,2439158.05
2024,BR_2024_med,Brasil,8299705,N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,82,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS",829,Outras atividades de serviços prestados principalmente às empresas,82997,Atividades de serviços prestados principalmente às empresas não especificadas anteriormente,8299705,Serviços de levantamento de fundos sob contrato,1384.18,156,215932.85
2024,BR_2024_med,Brasil,0220999,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",02,PRODUÇÃO FLORESTAL,022,Produção florestal - florestas nativas,02209,Produção florestal - florestas nativas,0220999,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,1391.81,2565,3569987.08
2024,BR_2024_med,Brasil,0132600,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",013,Produção de lavouras permanentes,01326,Cultivo de uva,0132600,Cultivo de uva,1399.87,67913,95069635.08
